Word	CD Score	LND Score	Neighbors
beautiful	0.1152269282056054	0.0001267278226827	4
look	0.1154181892854828	0.0008372363619491	5
does	0.1154186994729756	0.0003702113176786	4
looked	0.1162914280459879	0.0001443077546895	4
school	0.1185357727329835	0.0031432978510502	4
lose	0.1185731857528371	0.0017467545641713	5
hear	0.1210589203416313	0.0007199723156388	4
english	0.1227335879091	0.0007126360785785	5
player	0.1300008656558	0.0017681762870999	6
tv	0.1312614427760634	0.0020412652989443	5
some	0.1314163903152558	0.0013887961821698	6
children	0.132984789074851	0.0007906470442943	5
who	0.133518695813117	0.0019959879450385	5
game	0.1365239549564799	0.0024120367917579	6
find	0.1367032129145901	0.0003683568449699	4
morning	0.1394224639687943	0.0081187334285348	5
its	0.1426382947056276	0.0016558488265241	4
at	0.1458998011548122	0.0330582581135611	6
wonderful	0.1474329113684351	0.0001320974709765	4
friday	0.1517366079133434	0.0001447225540029	5
decision	0.154663406718769	0.0036304551574229	5
deutschland	0.1552687971653946	4.5782170638553055e-05	4
least	0.1583836075076344	0.0058930817021132	5
kids	0.1587047126652899	0.0001000974599977	5
teams	0.1632703075433541	0.0018424494749244	6
population	0.1695792670925089	0.0032457763870485	6
option	0.1699974351947217	0.0013290173688785	4
playoffs	0.1708347233411761	0.0007498262894736	5
brought	0.1725007657785791	0.0008895669418899	4
apartment	0.1738578335524586	0.0043255299833586	5
congratulations	0.1743499547387342	7.589977737720854e-05	4
process	0.1747371645836772	0.0187237311234692	6
idea	0.1747717561647723	0.0043855881882133	5
settings	0.1776395192104926	0.0036021171593745	6
philippians	0.1787045745951656	6.943388799796057e-05	5
oder	0.1787770672249465	0.0002986944070787	8
opinions	0.1802146995466552	0.0016531812723526	4
color	0.1804650013558638	0.0070048020910192	6
tylenol	0.1808195949519615	0.001270855262117	6
ways	0.1810961950022108	0.0016891687786	5
loss	0.1825731252097867	0.005134379336497	5
ensure	0.1836138786250331	0.0094032299879214	6
das	0.1887860286343327	0.0002727057499432	8
training	0.1899974803024294	0.0058026411974831	7
refreshments	0.19045254890788	0.0032053462439576	5
statement	0.1929105871068338	0.0007628328069109	5
deductible	0.1939124712997237	0.0013584372909758	6
families	0.1957027422072182	0.0015024642182069	5
signed	0.1980833673602716	0.0051830377650194	5
realise	0.1984920770281713	0.0024743173956826	4
nog	0.1987148170963281	0.0003206090651007	6
position	0.2014413841835816	0.0157322073127077	6
scene	0.204890209338534	0.0069223169464904	7
red	0.2052898677958902	0.0034690819652514	4
ball	0.2082863182065144	0.0013761686784798	6
gooey	0.208966357451754	0.0057438959046947	7
everyday	0.2097736146473683	0.0017946872672477	4
profit	0.2105335996963897	0.0046091867279752	6
c	0.2118355790690909	0.0041720723531323	5
built	0.2123272359278573	0.0021747268910498	5
skin	0.2132674713798852	0.0035827157784921	6
picked	0.2142215753069655	0.0038013401560754	5
community	0.2151438827931489	0.0146900566949679	5
asparagus	0.2154260447977335	0.0037716555769896	4
trouble	0.2164800595025616	0.0035525800430079	5
holiday	0.2166702396468739	0.0015596538660263	5
reasonable	0.2167243616831184	0.0004138914168331	4
art	0.2167292825367877	0.0024535957878026	4
talks	0.2179253206052418	0.0039456508608856	5
driving	0.218036459240587	0.002799905677969	6
tortilla	0.218282124033361	0.0007568826324659	5
debate	0.2185552493853911	0.0017179103283662	5
impossible	0.2186771088595649	0.0048258855095812	5
beginning	0.2193375126184201	0.0044135875737519	6
current	0.220202705867341	0.0064620083890127	5
outcome	0.2240550120427032	0.0036563116939324	4
groceries	0.2246657000734452	0.0183335703042065	4
performance	0.2249026761486943	0.0154115258313933	6
adaptor	0.2251251667588922	0.0002316518596805	4
tweeting	0.2255628085422318	0.0040798324284907	6
transaction	0.2259444912245057	0.0053170185861689	6
windows	0.2269741488164024	0.0026229477052699	7
poorest	0.2282691750042096	0.0009208999389315	4
albums	0.2308492774125702	0.0007957568551595	5
attempt	0.2311105138128367	0.0002546356529329	4
passengers	0.2317450628007297	0.0093292623477212	7
stockings	0.2318303594462778	0.0038793640075661	6
exists	0.2330627162261109	0.0112842164843135	6
configured	0.2331183083162865	0.0024771621481498	2
tweeted	0.2331462080937723	0.0010831785868323	5
speaks	0.2332711675338132	0.0005849470347709	5
top	0.2340080506953141	0.0397913150508814	5
undergrad	0.2343251638023198	0.0009723942735336	4
infringe	0.2350916129261369	0.003112214252657	5
shocked	0.2353201350603564	0.000885968521061	5
survive	0.2355307285020221	0.0104864184514162	6
shipped	0.2358523578790509	0.0046407481174612	6
golf	0.2361816945525988	0.0048124461513001	6
squirting	0.2363440842593155	0.0058147482264022	5
draped	0.2394580711400226	0.0093663887921304	5
install	0.2397651336586632	0.0015361012942241	4
cholesterol	0.2417039679820505	0.0071168802693002	6
yrs	0.2420457318727769	0.0026222144952026	5
environments	0.2425573130517075	0.0110211083602698	6
dioxide	0.242739517483376	0.0035745616883772	5
body	0.2432655944065023	0.0040634979820799	6
databases	0.2454297767486256	0.0059821007463886	5
easiest	0.2454332328895893	0.0010148427132995	4
vitamins	0.2455306711976119	0.0014994111519109	6
bacteria	0.2456829750684712	0.0014770673552275	5
kickoff	0.2458792032631769	0.0035373242716424	4
smells	0.2460370642473137	0.0008807036121275	5
corsair	0.2460984580094791	0.0028615296420189	5
rappers	0.2463518872465399	0.0089338116459039	6
theaters	0.2465331722197297	0.0023882888193913	5
taller	0.2465918715123558	0.001710365888628	6
teared	0.2487054265656124	0.004725816177428	5
