Word,CD Score,LND Score,Neighbors
look,0.1154181892854828,0.0008372363619491,5
lose,0.1185731857528371,0.0017467545641713,5
player,0.1300008656558,0.0017681762870999,6
morning,0.1394224639687943,0.0081187334285348,5
population,0.1695792670925089,0.0032457763870485,6
option,0.1699974351947217,0.0013290173688785,4
idea,0.1747717561647723,0.0043855881882133,5
settings,0.1776395192104926,0.0036021171593745,6
opinions,0.1802146995466552,0.0016531812723526,4
statement,0.1929105871068338,0.0007628328069109,5
families,0.1957027422072182,0.0015024642182069,5
realise,0.1984920770281713,0.0024743173956826,4
community,0.2151438827931489,0.0146900566949679,5
asparagus,0.2154260447977335,0.0037716555769896,4
art,0.2167292825367877,0.0024535957878026,4
talks,0.2179253206052418,0.0039456508608856,5
beginning,0.2193375126184201,0.0044135875737519,6
outcome,0.2240550120427032,0.0036563116939324,4
groceries,0.2246657000734452,0.0183335703042065,4
performance,0.2249026761486943,0.0154115258313933,6
