word	trending score	Sentence freq C1	Sentence freq C2	Wordnet
pandemic	83.54285714285714	40	5888	True
quarantine	31.757142857142856	40	2263	True
vaccine	23.490384615384617	178	5064	True
vaccinated	23.45744680851064	64	2269	True
lockdown	20.873333333333335	120	3251	True
moots	16.714285714285715	40	1210	True
corona	13.578512396694215	91	1734	True
distancing	13.275	50	1112	True
vaccination	9.43157894736842	65	961	True
virus	9.340782122905027	507	5523	True
airdrop	9.086206896551724	86	1140	True
yacht	8.968253968253968	96	1226	True
masks	8.953216374269006	312	3374	True
ukraine	8.821608040201005	368	3879	True
vaccines	8.701357466063348	191	2114	True
mandates	7.571428571428571	40	570	True
ukrainian	6.745283018867925	76	791	True
doge	6.731958762886598	67	720	True
staking	5.802631578947368	46	487	True
bodybuilding	5.719101123595506	59	568	True
manifesting	5.566265060240964	53	515	True
stimulus	5.480392156862745	72	631	True
liquidity	5.099099099099099	81	647	True
epstein	4.5	56	443	True
cdc	4.062937062937063	113	694	True
cummings	3.9375	50	365	True
rioters	3.9027777777777777	42	323	True
capitol	3.6793478260869565	154	831	True
pronouns	3.5458715596330275	188	961	True
closeness	3.493150684931507	43	298	True
blinks	3.4	120	630	True
obi	3.390625	98	532	True
mask	3.3539545810493343	1247	5530	True
caters	3.3488372093023258	56	344	True
burrow	3.328125	34	247	True
inflation	3.3258426966292136	415	1895	True
taliban	3.325	130	662	True
ethiopia	3.099290780141844	111	548	True
misinformation	3.0775510204081633	215	969	True
socials	3.075	50	296	True
bullish	3.0671641791044775	104	515	True
cyberpunk	3.00990099009901	71	375	True
vaccinations	2.9743589743589745	48	280	True
disinformation	2.9145299145299144	87	428	True
lifestyles	2.9029126213592233	73	372	True
boomer	2.900709219858156	111	520	True
infections	2.8714285714285714	110	512	True
musk	2.8145454545454545	245	1019	True
pinks	2.7846153846153845	35	216	True
in-person	2.7111111111111112	60	304	True
scheduled	2.697053406998158	1056	3985	True
zoom	2.6851063829787236	440	1702	True
infected	2.6458333333333335	306	1195	True
protocols	2.6311475409836067	92	413	True
ethiopian	2.6296296296296298	51	264	True
reopening	2.6091954022988504	57	284	True
ballots	2.6030150753768844	169	687	True
fetishes	2.5964912280701755	84	380	True
mdma	2.593582887700535	157	642	True
minimums	2.585714285714286	40	221	True
scammers	2.561797752808989	148	604	True
crt	2.5060240963855422	53	261	True
vaccinate	2.5	32	187	True
jab	2.488986784140969	197	762	True
sars	2.4871794871794872	48	242	True
viruses	2.471830985915493	112	463	True
masking	2.4367816091954024	57	269	True
telegram	2.3838862559241707	181	684	True
whistleblower	2.3823529411764706	38	200	True
greenwood	2.3698630136986303	43	216	True
outbreak	2.3636363636363638	146	562	True
mouthful	2.3544303797468356	49	235	True
precautions	2.35	90	372	True
nato	2.3205479452054796	335	1182	True
azerbaijan	2.3142857142857145	40	202	True
wholesome	2.2966101694915255	206	748	True
immunity	2.2950819672131146	275	975	True
tracing	2.230769230769231	74	306	True
folklore	2.1566265060240966	53	232	True
arson	2.1492537313432836	37	181	True
boomers	2.1379310344827585	115	425	True
deaths	2.0897043832823647	951	3001	True
icu	2.088888888888889	105	387	True
impeachment	2.079726651480638	409	1322	True
rioting	2.0720720720720722	81	311	True
normalize	2.0442477876106193	83	314	True
shortages	2.03	70	273	True
hoax	2.020242914979757	217	716	True
token	2.0087591240875913	655	2031	True
ghosted	2.0	51	213	True
sedition	1.96	45	192	True
moderators	1.9228353521758637	6657	19515	True
respiratory	1.89	70	259	True
polygon	1.8876404494382022	59	227	True
holders	1.8806366047745358	347	1056	True
verified	1.8718801996672212	571	1696	True
infectious	1.864864864864865	81	288	True
grifter	1.8470588235294119	55	212	True
lh	1.8421052631578947	65	240	True
prod	1.8376623376623376	124	407	True
serotonin	1.8372093023255813	56	214	True
billionaires	1.8311111111111111	195	607	True
ecosystem	1.8279569892473118	249	759	True
apes	1.8222222222222222	105	351	True
trauma	1.8201320132013201	576	1679	True
tesla	1.8159851301115242	508	1485	True
performed	1.8079355042681	6296	17733	True
riots	1.8078291814946619	251	759	True
distanced	1.8064516129032258	32	144	True
concerns	1.8001198681450405	6644	18658	True
clout	1.7985347985347986	243	734	True
atp	1.7962962962962963	78	272	True
decentralized	1.7766497461928934	167	517	True
hancock	1.7375	50	189	True
jabs	1.7304347826086957	85	284	True
symptoms	1.7296296296296296	780	2181	True
roe	1.7230769230769232	100	324	True
sus	1.72	120	378	True
ada	1.7121212121212122	234	686	True
systemic	1.710382513661202	153	466	True
discord	1.6836544437538845	1579	4288	True
generational	1.6818181818181819	102	324	True
transcribe	1.6796116504854368	176	522	True
shiv	1.679245283018868	76	254	True
bod	1.6643835616438356	116	359	True
horny	1.6566666666666667	570	1564	True
minted	1.6470588235294117	38	150	True
booster	1.6416382252559727	263	744	True
attractions	1.6228070175438596	84	269	True
herbert	1.6210526315789473	65	219	True
hag	1.619047619047619	75	245	True
infection	1.6134453781512605	446	1214	True
sol	1.6096654275092936	239	672	True
reels	1.6	30	126	True
resin	1.597938144329897	67	222	True
navigator	1.596774193548387	32	131	True
afghanistan	1.595	370	1008	True
caribbean	1.5910652920962198	261	724	True
truckers	1.5909090909090908	36	141	True
discography	1.5841584158415842	71	231	True
dividend	1.5803571428571428	82	259	True
restrictions	1.571177504393673	539	1433	True
stallion	1.5671641791044777	37	142	True
unprovoked	1.5625	34	134	True
virtual	1.5425531914893618	722	1882	True
grifters	1.5384615384615385	35	135	True
ape	1.523076923076923	165	462	True
isolate	1.5227272727272727	146	414	True
hospitals	1.5136612021857923	519	1350	True
investors	1.5121527777777777	546	1417	True
gatherings	1.5	104	305	True
moot	1.497142857142857	145	407	True
creators	1.4831013916500995	473	1219	True
filibuster	1.4827586206896552	57	186	True
trending	1.4803063457330417	884	2237	True
fryer	1.4788732394366197	41	146	True
euphoria	1.4727272727272727	135	378	True
respectfully	1.471698113207547	182	494	True
grooming	1.4709302325581395	142	395	True
investor	1.4663677130044843	193	520	True
allegedly	1.4630681818181819	322	837	True
protesters	1.4619565217391304	338	876	True
fda	1.4580645161290322	125	351	True
livelihoods	1.4545454545454546	36	132	True
morrison	1.4486486486486487	155	423	True
moa	1.4415584415584415	47	158	True
apex	1.440625	290	751	True
administered	1.44	45	153	True
cis	1.4395973154362416	268	697	True
canonically	1.4375	34	126	True
governors	1.4367816091954022	144	394	True
authoritarian	1.4364406779661016	206	545	True
transmission	1.4350877192982456	255	664	True
variant	1.4350649350649352	278	720	True
platforms	1.433029908972692	739	1841	True
unemployment	1.4326530612244899	460	1162	True
doses	1.4310344827586208	202	534	True
sustainability	1.430939226519337	151	410	True
automatically	1.4284393063583816	8620	20976	True
bozo	1.425	50	164	True
flu	1.4235127478753542	676	1681	True
villagers	1.4227642276422765	93	268	True
viral	1.4223300970873787	382	968	True
protests	1.4211576846307385	471	1183	True
tarot	1.4181818181818182	80	236	True
maharashtra	1.4179104477611941	104	294	True
isolation	1.413249211356467	287	735	True
marxist	1.4096385542168675	136	370	True
adhd	1.4092071611253196	361	912	True
immune	1.4004024144869216	467	1163	True
clowning	1.4	50	162	True
scammer	1.3989637305699483	163	433	True
isolating	1.3982300884955752	83	241	True
marketplace	1.3934426229508197	214	554	True
looting	1.3897058823529411	242	620	True
parlay	1.3880597014925373	37	130	True
buccaneers	1.3846153846153846	35	125	True
fentanyl	1.375	66	198	True
commissions	1.368421052631579	217	555	True
equity	1.3628048780487805	298	745	True
ventilation	1.3506493506493507	47	151	True
dogshit	1.3495145631067962	73	212	True
mortality	1.3393939393939394	135	356	True
junta	1.3384615384615384	35	122	True
requesting	1.3342175066312998	347	850	True
carats	1.3333333333333333	45	145	True
pasting	1.3333333333333333	81	229	True
fascist	1.3247706422018348	515	1237	True
shanks	1.3225806451612903	32	114	True
afghan	1.321917808219178	116	309	True
yang	1.3183098591549296	325	793	True
ani	1.3181818181818181	300	735	True
antis	1.3162393162393162	87	241	True
moderator	1.313543599257885	509	1217	True
minors	1.3127572016460904	213	532	True
incited	1.3114754098360655	31	111	True
bedrock	1.3066666666666666	45	143	True
unmatched	1.2972972972972974	81	225	True
verify	1.294407894736842	578	1365	True
toxic	1.2892069171138938	1647	3809	True
manifest	1.2869198312236287	207	512	True
stocks	1.2857142857142858	572	1346	True
igbo	1.2857142857142858	96	258	True
variants	1.285024154589372	177	443	True
curfew	1.2846715328467153	107	283	True
reparations	1.2844827586206897	86	235	True
polio	1.2823529411764707	55	164	True
d-day	1.2816901408450705	41	132	True
ev	1.2727272727272727	201	495	True
tyrannical	1.2717391304347827	62	179	True
trillions	1.2702702702702702	81	222	True
herd	1.2685950413223142	212	519	True
squid	1.2677165354330708	97	258	True
audited	1.2602739726027397	43	135	True
shortage	1.2596153846153846	282	675	True
equitable	1.2592592592592593	51	153	True
verification	1.2555282555282554	377	888	True
myanmar	1.2478632478632479	87	233	True
sustainable	1.2473347547974414	439	1024	True
absentee	1.247191011235955	59	170	True
caregivers	1.240506329113924	49	147	True
outbreaks	1.24	45	138	True
procreate	1.2361111111111112	42	131	True
prevention	1.2355212355212355	229	549	True
iranian	1.2348484848484849	234	560	True
tokens	1.234676007005254	541	1246	True
feral	1.2337662337662338	124	314	True
measures	1.2259136212624584	572	1310	True
bot	1.225181598062954	9056	20188	True
chemicals	1.2246835443037976	286	673	True
erica	1.2238805970149254	104	268	True
debited	1.2238805970149254	37	119	True
infect	1.2231404958677685	91	239	True
monarchy	1.2207792207792207	124	312	True
anchor	1.2179836512261581	337	784	True
accountable	1.2154696132596685	694	1574	True
efficacy	1.2135922330097086	73	198	True
well-being	1.2087912087912087	152	372	True
pinned	1.2071197411003236	588	1334	True
yb	1.203125	34	111	True
cropping	1.2	40	124	True
paved	1.1987577639751552	131	324	True
chronically	1.196969696969697	36	115	True
communist	1.1966386554621848	565	1277	True
hua	1.1914893617021276	64	176	True
sturgeon	1.1827956989247312	63	173	True
cro	1.1791044776119404	37	116	True
cases	1.1765589782118708	2632	5764	True
hospitalized	1.1764705882352942	89	229	True
zenith	1.1746031746031746	33	107	True
armenian	1.1704545454545454	58	161	True
projector	1.1691176470588236	106	265	True
gremlin	1.1690140845070423	41	124	True
normalized	1.1683168316831682	71	189	True
traumatizing	1.1666666666666667	42	126	True
narratives	1.160427807486631	157	374	True
streamer	1.1568047337278107	308	699	True
audits	1.15625	34	108	True
action	1.1560913705583757	11790	25455	True
mandate	1.156084656084656	348	785	True
shares	1.153933865450399	847	1859	True
overturn	1.1456953642384107	121	294	True
traumatized	1.144578313253012	136	326	True
fascism	1.1445427728613569	309	697	True
overthrow	1.1444444444444444	150	356	True
bearish	1.1411764705882352	55	152	True
draconian	1.1388888888888888	42	124	True
imposter	1.1363636363636365	80	205	True
landlords	1.1346153846153846	126	303	True
pharmacies	1.1343283582089552	37	113	True
postpone	1.1333333333333333	105	258	True
karen	1.1297169811320755	394	873	True
alphabetical	1.1285714285714286	40	119	True
cum	1.128103277060576	977	2113	True
arresting	1.126984126984127	96	238	True
hedge	1.125	178	412	True
vibes	1.125	1074	2316	True
fascists	1.125	218	497	True
massacred	1.1194029850746268	37	112	True
china	1.1193518229978185	3179	6771	True
narcissists	1.1176470588235294	55	150	True
rh	1.117117117117117	81	205	True
freedoms	1.1168831168831168	201	459	True
complying	1.1147540983606556	31	99	True
mint	1.1142857142857143	460	1006	True
patients	1.112701252236136	1088	2332	True
models	1.1118279569892473	1365	2916	True
governor	1.1115384615384616	750	1617	True
bruno	1.1096774193548387	280	624	True
totalitarian	1.1067961165048543	73	187	True
inaction	1.1018518518518519	78	197	True
autonomy	1.101063829787234	158	365	True
project	1.0982274741506648	5386	11334	True
normalcy	1.095890410958904	43	123	True
affirmations	1.0952380952380953	33	102	True
narcissist	1.0950226244343892	191	433	True
unsolicited	1.094488188976378	97	236	True
tested	1.0943231441048036	1115	2368	True
peacock	1.0853658536585367	52	141	True
businesses	1.0833959429000752	1301	2743	True
swab	1.0833333333333333	30	95	True
undervalued	1.0804597701149425	57	151	True
uma	1.0787878787878789	135	313	True
sycophants	1.0786516853932584	59	155	True
chaotic	1.0766666666666667	270	593	True
mistreatment	1.0757575757575757	36	107	True
asexual	1.0754716981132075	76	190	True
doodles	1.0746268656716418	37	109	True
emissions	1.0725190839694656	232	513	True
wei	1.072289156626506	53	142	True
interact	1.0704070407040704	879	1852	True
clown	1.0699432892249527	1028	2160	True
checkmate	1.0684931506849316	43	121	True
dementia	1.0683453237410072	248	545	True
accountability	1.0650759219088937	431	922	True
clot	1.0634920634920635	33	100	True
brainwashed	1.0633608815426998	333	719	True
virgo	1.0604026845637584	119	277	True
unverified	1.0602409638554218	53	141	True
earnings	1.0586319218241043	277	602	True
essential	1.0563674321503131	928	1940	True
lender	1.0526315789473684	46	126	True
metrics	1.0517241379310345	144	327	True
interacted	1.0516129032258064	125	288	True
boosters	1.0509554140127388	127	292	True
reopen	1.05078125	226	495	True
cohort	1.05	90	216	True
villager	1.05	70	175	True
sana	1.0498442367601246	291	628	True
atrocities	1.048780487804878	175	390	True
investments	1.0482233502538072	364	777	True
pto	1.0481927710843373	53	140	True
amplify	1.0471698113207548	76	187	True
bisexual	1.0470588235294118	225	492	True
dysphoria	1.0467836257309941	141	320	True
autistic	1.0445103857566767	307	659	True
gouging	1.0434782608695652	39	111	True
workforce	1.0430622009569377	179	397	True
lawsuits	1.0416666666666667	138	313	True
dumps	1.0416666666666667	114	264	True
parasite	1.0372670807453417	131	298	True
ufo	1.0357142857142858	82	198	True
elderly	1.0357142857142858	474	996	True
contact	1.0345693005181347	12322	25101	True
indigenous	1.0333333333333334	330	702	True
theorists	1.032258064516129	63	159	True
halos	1.03125	34	100	True
contagious	1.0294117647058822	140	315	True
cringe	1.02555910543131	596	1238	True
pox	1.0253164556962024	49	130	True
supermarkets	1.0252100840336134	89	211	True
mutations	1.0227272727272727	58	148	True
sikhs	1.0208333333333333	66	164	True
temperature	1.0197841726618706	1082	2216	True
oligarchs	1.0194174757281553	73	178	True
homelessness	1.018181818181818	135	303	True
censoring	1.0175438596491229	84	200	True
earnestly	1.0163934426229508	31	93	True
exemptions	1.015625	34	99	True
cursed	1.0155945419103314	483	1004	True
legacies	1.0153846153846153	35	101	True
protocol	1.015075376884422	368	772	True
sind	1.0148148148148148	105	242	True
cult	1.0136208853575484	851	1744	True
plebs	1.0128205128205128	48	127	True
injection	1.0119760479041917	137	306	True
bi	1.011864406779661	560	1157	True
charting	1.0112359550561798	59	149	True
treasure	1.0066934404283803	717	1469	True
crisis	1.0063816209317167	1537	3114	True
abortion	1.005859375	994	2024	True
investing	1.0056022408963585	684	1402	True
suppression	1.0045871559633028	188	407	True
karma	1.00266260935717	2599	5235	True
irreversible	1.0	39	108	True
banger	1.0	228	486	True
arising	1.0	31	92	True
medically	1.0	93	216	True
greene	1.0	68	166	True
